nome,endereço,telefone,aniversário,cpf
Maria Luiza Alves,"Núcleo Leonardo Aparecida, Ribeiro De Abreu, 73336-523 Pimenta / RS",11-97369-7173,15/03/1977,264.701.985-11
Diego Gonçalves,"Recanto Cavalcanti, 96, Copacabana, 57643707 Vargas / PB",36-94604-4467,15/06/1955,298.034.516-42
Maria Clara Rezende,"Estação de Jesus, 48, Nova Pampulha, 85969213 Correia do Campo / CE",57-91033-3048,14/11/1939,347.165.902-16
Thomas Melo,"Praça de Oliveira, 36, Vila Santa Monica 2ª Seção, 45113277 Mendes / PA",98-99094-7405,12/09/1959,057.623.189-40
Sra. Joana Fogaça,"Viaduto Viana, 8, Oeste, 20868326 Azevedo / PA",23-94309-3384,09/09/1990,372.196.584-19
Dra. Aurora Cardoso,"Rodovia de Silveira, 4, Conjunto Paulo Vi, 55415868 Silveira / MA",79-95833-7313,30/01/1942,049.315.628-33
Maria Luiza Câmara,"Feira Vargas, 87, Novo Ouro Preto, 42737-683 Monteiro de Goiás / MS",65-94658-5249,17/02/1960,623.780.951-12
Olivia Novaes,"Esplanada Matteo Aragão, 96, Conjunto Paulo Vi, 75787-133 Almeida / MA",16-95205-7853,10/07/1960,350.278.194-04
Otávio Albuquerque,"Estação de Vargas, 19, Coqueiros, 18977-013 Vasconcelos / MG",18-93471-3152,18/12/2003,580.947.132-32
Arthur Pacheco,"Praia Liz Cavalcante, 76, Pongelupe, 65410338 Marques da Praia / RO",71-91277-1884,03/03/1970,085.972.614-20
Isadora Nogueira,"Lago Henry Gabriel Carvalho, 58, Vila Nova Gameleira 2ª Seção, 88799479 Pinto Grande / MA",51-96508-5503,15/02/1995,631.970.458-66
Daniela Costela,"Condomínio de Jesus, 6, Vila Jardim Montanhes, 57155-007 Martins / PR",44-99201-8675,02/02/1951,781.954.360-48
Sra. Maria Júlia Martins,"Quadra Leão, 43, Ventosa, 28858591 Câmara do Norte / RN",86-94156-8654,10/01/1986,680.549.371-48
Pietra da Paz,"Núcleo Rhavi Mendonça, Vila Maria, 22018855 Rocha / BA",89-96159-9203,08/05/2006,168.073.549-75
Sr. Noah Vargas,"Viaduto de Gomes, 1, Santa Inês, 31932898 Andrade / AL",94-97436-1866,03/10/1968,216.935.708-40
Sra. Cecília Martins,"Sítio Guerra, 3, Vila São Geraldo, 39679-458 Barros / ES",71-95142-9950,22/09/1937,540.326.981-98
Rebeca Costela,"Jardim de Siqueira, 993, Beira Linha, 02689549 Monteiro Verde / RN",57-99092-1205,04/01/1982,452.901.368-51
Mateus Sousa,"Lago Lopes, 68, Madre Gertrudes, 66134-977 Guerra / DF",72-95969-3531,08/12/1973,810.923.746-04
Dra. Mariah Ribeiro,"Colônia Giovanna Dias, 84, Nazare, 02490-235 Sá do Campo / CE",84-99354-3985,08/02/1991,043.628.719-69
Pietra Castro,"Trecho Gabriel Guerra, 1, Senhor Dos Passos, 65103-356 Aparecida / PI",19-96622-7225,29/02/1956,204.795.361-80
Letícia Moreira,"Conjunto Peixoto, 58, Vila Independencia 2ª Seção, 06802181 Mendes Verde / MG",54-96745-8767,21/05/1994,703.852.419-41
Dr. Anthony Porto,"Estação Ana Luiza da Conceição, 3, Vila Paraíso, 58561-501 Pastor de Fogaça / GO",89-92118-2139,24/12/1998,047.592.813-04
Bryan Vieira,"Condomínio de Silveira, 30, Vila Da Luz, 24013427 Pimenta / SE",26-94532-9145,01/07/1962,269.175.043-43
Noah Santos,"Passarela Raul Vasconcelos, 50, Carlos Prates, 02399-736 da Mata de Rodrigues / PR",66-91013-3708,13/06/1981,765.092.413-07
Dra. Olivia da Paz,"Trecho Dias, 870, Caiçaras, 52102261 Monteiro / MT",18-94931-6577,05/03/1957,430.159.628-33
Carolina Rezende,"Rodovia Cirino, 79, Xangri-Lá, 28751019 Fogaça / CE",12-99534-7055,23/10/1991,482.510.673-08
Ísis Rezende,"Aeroporto de Caldeira, 51, Vila Engenho Nogueira, 61960178 Barros de Minas / MG",63-92357-7177,22/05/1997,142.687.530-44
Olívia Sousa,"Vila Raquel Ferreira, 151, Alto Dos Pinheiros, 61191948 Vasconcelos / RO",69-93941-7213,23/08/1951,590.173.284-79
Antony das Neves,"Condomínio de Câmara, Leticia, 52291279 Rios de Cunha / MG",97-91363-9244,03/11/1934,407.519.238-50
Dom Moreira,"Morro Fonseca, 27, Ermelinda, 22058432 Cavalcanti / RR",52-98118-9617,29/08/1961,640.532.971-25
Maria Liz Moura,"Rua Emanuel Araújo, 9, Jardim Do Vale, 79342-084 Marques do Norte / CE",19-99576-2172,11/06/1951,619.273.850-59
Alice Barros,"Loteamento Nunes, 32, Parque São Pedro, 55612126 Nascimento / AL",43-92830-2554,11/11/1990,154.209.367-80
Benjamin Ramos,"Avenida Vieira, 42, Vila Coqueiral, 15877916 Farias das Flores / TO",69-93937-7849,15/10/1994,864.701.325-53
Renan Barros,"Favela Ana Fonseca, Barroca, 73888-308 Gonçalves de Goiás / RS",42-96336-4354,12/10/1982,260.578.149-67
Sra. Carolina Nascimento,"Parque Pedro Henrique Oliveira, Camargos, 60361-301 Garcia / MS",19-91156-1691,09/03/1991,508.612.974-58
Theo Borges,"Estação de Santos, 93, Vila Novo São Lucas, 16698-054 Ferreira do Sul / MG",38-91745-9241,23/08/2004,512.630.749-52
Dr. Theodoro Guerra,"Residencial da Paz, Candelaria, 52794191 Mendes / CE",58-97396-9401,08/10/1944,890.456.172-85
Yuri Cavalcanti,"Vale de Casa Grande, 695, Coração Eucarístico, 32538-968 Cavalcanti da Serra / TO",75-95105-5695,05/08/1979,571.049.638-39
Mathias Ferreira,"Recanto Azevedo, 7, Heliopolis, 65589191 Casa Grande / ES",76-95048-8592,06/10/1998,630.257.184-71
Maitê Cavalcante,"Viaduto Pimenta, Nova Esperança, 65310009 da Mota / CE",58-99157-1335,11/06/1943,172.968.503-02
Sofia Azevedo,"Travessa Fogaça, 70, Boa Vista, 50494-754 Sá / ES",84-95494-4701,02/05/1978,621.407.359-43
Giovanna Cirino,"Praia Igor Mendonça, 2, Urca, 52314301 Montenegro / BA",68-92726-1547,04/12/1979,203.149.768-50
Thales Montenegro,"Trevo Sales, 531, Vila Primeiro De Maio, 97984-885 Santos de Pimenta / PA",92-91913-6914,06/02/2006,509.713.428-14
Lucas Gabriel Casa Grande,"Lago Diego da Costa, 723, Ventosa, 71569-330 Peixoto / AL",34-97966-9213,13/12/1980,170.935.682-03
Ana Julia Sampaio,"Chácara Santos, 64, Planalto, 62208346 Brito / RN",11-97141-3882,13/07/1940,571.340.826-44
Anthony Azevedo,"Avenida Gael Henrique Vasconcelos, 86, Tres Marias, 57530985 Costa / MG",15-97017-1895,22/12/1964,510.796.832-59
Renan Oliveira,"Rodovia Maria Vieira, 883, Jaraguá, 75672-254 Cavalcanti / MS",19-91136-9483,20/05/2000,942.870.165-30
Daniel Novaes,"Estrada Ana Sophia Campos, 870, Vila Da Paz, 32516-830 Pinto / PR",59-92540-6491,22/01/1961,067.415.239-52
Sr. Vitor Hugo Barbosa,"Aeroporto de Rodrigues, 53, Minas Brasil, 41281183 Vieira das Flores / RN",69-91130-1879,09/01/2006,204.371.568-26
Bruno Santos,"Vereda Murilo Cassiano, 264, Copacabana, 29399892 Cassiano dos Dourados / AC",92-98380-7437,25/02/2004,276.380.195-12
Dr. Mathias Lopes,"Viela Ferreira, 3, Aarão Reis, 16633814 Silva / MT",21-92435-5713,08/03/1957,352.684.197-73
Gabrielly Garcia,"Rua de Melo, 76, Mineirão, 34926-104 Nascimento da Prata / DF",16-91904-4956,01/05/1992,419.056.827-94
Dr. Augusto da Costa,"Aeroporto Francisco Ferreira, 978, Vila Inestan, 71624426 Aragão / AC",47-97082-2750,24/03/1943,172.806.435-07
Henrique Aparecida,"Trevo Borges, 57, Maria Virgínia, 28976-750 Porto / RO",94-99869-2709,27/01/1998,846.179.025-11
Dr. Thales Almeida,"Recanto de Rios, 194, Satelite, 71021656 Duarte do Campo / AM",90-96524-4862,24/01/1946,457.168.392-82
Manuella Moura,"Avenida Nunes, São Bento, 73786-423 Azevedo Alegre / RS",53-96230-2028,05/08/1999,068.247.139-96
Dr. Samuel Brito,"Fazenda de Vargas, 43, Boa Vista, 99026400 da Mota de Albuquerque / RJ",29-91591-8515,22/07/1968,239.417.805-14
Maria Pacheco,"Jardim de Castro, 56, Vila Califórnia, 78210308 Macedo / AL",39-97780-7206,07/11/1994,167.983.052-02
Caroline Rodrigues,"Colônia Cecilia da Rosa, 922, Vila Copasa, 57595639 Nascimento de Freitas / BA",63-94011-8691,28/10/1963,695.341.087-66
Sra. Carolina Freitas,"Loteamento Aparecida, 7, Vila Pilar, 42849730 Pacheco da Serra / SE",85-91671-7046,29/05/1978,730.861.542-17
Sophie Campos,"Parque de Nogueira, Nova Cachoeirinha, 71657-528 Pereira da Praia / BA",47-94363-3007,02/12/1941,108.376.594-93
Otto Gonçalves,"Trecho de Rezende, 75, Xodo-Marize, 38079316 Nogueira da Serra / PI",42-96078-9695,17/09/1935,725.689.014-11
Srta. Stephany Mendes,"Lago Maria Eduarda Moura, 12, Outro, 55735-705 Moura das Pedras / MA",90-91755-9822,14/03/1960,564.702.381-90
Dra. Maria Laura Abreu,"Rodovia Rodrigues, 460, Piraja, 56272521 Jesus de Sampaio / MT",86-98434-6881,01/06/1982,085.347.216-53
Sofia Mendonça,"Pátio Rodrigues, 348, Ventosa, 74907-422 Almeida do Oeste / RR",94-97172-9434,22/10/1945,108.632.597-40
Caroline Porto,"Passarela de da Costa, 157, Jardim Leblon, 74017-462 Nascimento do Galho / DF",25-94489-1302,10/02/1975,351.726.049-52
Felipe Souza,"Praia Novaes, 44, Mangueiras, 79866720 Sousa das Pedras / PI",38-91116-3621,08/10/1939,283.097.165-59
Otávio Castro,"Feira de Marques, 13, Grotinha, 23415-582 Barbosa da Praia / MT",55-93415-5203,04/08/1983,745.180.326-08
Brayan Aragão,"Vale Lara Abreu, 65, Flavio Marques Lisboa, 65538-203 Gonçalves / PA",31-92108-3397,20/09/1972,917.582.430-23
Daniel Martins,"Área Elisa Monteiro, 1, São Francisco, 98077-310 Fogaça / AP",52-98294-9311,18/09/2005,759.604.832-38
Natália Camargo,"Avenida Jesus, 25, Acaba Mundo, 78074333 Marques da Praia / DF",69-92120-3188,27/09/1950,789.632.415-64
Giovanna Rodrigues,"Condomínio Casa Grande, 3, Palmares, 18564701 Rios / PE",61-94735-6553,03/10/2005,901.362.854-06
Ravi Leão,"Setor Milena Farias, 35, João Pinheiro, 59703-648 Rodrigues Grande / TO",16-96045-1759,21/10/1977,917.280.346-04
Srta. Luiza Guerra,"Estrada Farias, 3, Maria Virgínia, 46268170 Vieira / PB",32-98123-7205,30/03/1979,037.562.914-99
Lucca Brito,"Viaduto Nascimento, 7, Rio Branco, 66728390 Nogueira / SE",65-99917-7419,24/11/2002,861.732.549-64
Alícia Cassiano,"Alameda de Moraes, 28, Acaba Mundo, 31054804 da Luz de Pastor / AP",84-95454-9319,12/08/1940,206.357.981-40
Laura Santos,"Setor de Ferreira, Castelo, 45224-359 Freitas de da Costa / MG",48-92749-1917,23/05/1969,425.089.617-01
Helena Lopes,"Quadra de Novaes, 61, Senhor Dos Passos, 92277937 Monteiro / PB",55-97453-7415,31/05/1971,610.593.728-86
Felipe Moraes,"Setor de Moreira, 745, Penha, 45158529 Camargo / GO",25-93073-8913,21/10/1965,604.127.983-87
Luan Pinto,"Vereda de Abreu, 9, Vila Petropolis, 86193-289 Gonçalves / PA",72-99867-6105,28/10/1946,732.501.964-52
Brayan Carvalho,"Travessa Luara Pires, 83, Prado, 41203594 Fogaça / GO",29-96339-7539,30/12/1992,147.586.293-82
Mateus Vasconcelos,"Trevo de Nogueira, 9, Vila Das Oliveiras, 22989157 Mendonça / MA",59-91874-9329,19/01/1996,821.674.039-50
Dr. João Felipe Pimenta,"Fazenda Silveira, 303, Vila Canto Do Sabiá, 97454737 Casa Grande / MA",44-98222-9919,02/02/1992,563.892.014-51
Luiz Miguel Casa Grande,"Esplanada Benjamin Barbosa, 470, Marajó, 25790303 Farias / TO",29-91738-3347,05/05/1961,162.705.839-77
Erick Teixeira,"Lago de Jesus, Conjunto Paulo Vi, 04724-571 Correia do Amparo / AC",45-99807-6035,04/07/1953,794.265.810-49
Maya Rezende,"Trevo de Freitas, 400, Lagoa, 32955-299 da Rosa do Campo / SP",53-95736-7826,09/08/1958,986.521.307-95
Vinícius Sousa,"Fazenda Peixoto, 40, Varzea Da Palma, 83481169 Ferreira / PR",78-98875-1021,24/12/1973,467.520.391-43
Dra. Brenda da Rocha,"Rodovia Oliver Nogueira, 1, João Alfredo, 34043-444 Cirino Grande / PA",84-94104-5027,26/07/1941,456.708.291-58
Lívia Oliveira,"Jardim Oliveira, 15, São Gabriel, 14957-564 Viana / PA",87-96871-4753,25/11/1960,143.527.896-82
Maria Júlia Lopes,"Lago Costa, 8, Engenho Nogueira, 92940791 Sá / MA",35-96189-8754,09/02/1986,079.561.483-75
Sra. Rafaela Andrade,"Núcleo de Pereira, 22, Alípio De Melo, 14057-043 Andrade da Praia / DF",56-98434-6983,18/01/1981,642.031.987-04
Beatriz Costa,"Lago de Santos, 78, Boa Vista, 99849-425 Novaes / DF",81-93418-9679,27/08/1998,473.856.091-39
Luiz Fernando Vargas,"Rua de Sousa, 78, Delta, 12775-342 Sousa / RN",38-92609-9061,01/12/1969,019.387.265-02
Gustavo Henrique Casa Grande,"Núcleo de da Costa, 4, Mineirão, 39025-736 Silva Alegre / RR",22-95599-4612,20/09/1942,058.127.963-86
Nina Almeida,"Vale Sarah Caldeira, 22, Cenaculo, 54894-807 Duarte / SC",42-98689-9828,12/03/1947,523.410.678-08
Luiz Miguel da Rocha,"Esplanada Nogueira, 56, Vila Das Oliveiras, 24374-101 Martins de Correia / PR",99-96030-8507,01/08/1950,170.625.839-95
Léo Pires,"Recanto Heloísa Rodrigues, 66, Suzana, 61005-363 Fonseca Paulista / SE",36-97586-9436,18/12/1971,758.943.206-74
Ana Julia Rios,"Aeroporto Catarina Cunha, 14, Vale Do Jatoba, 15071-230 Machado / TO",22-97025-2992,02/06/2002,947.160.253-06
Antony Almeida,"Vila João Guilherme Santos, Vila Formosa, 36312108 Vieira / SP",59-94855-3674,08/12/1988,387.450.129-97
Brayan Viana,"Estação Luana Fogaça, 29, Das Industrias I, 70387-504 Montenegro / RR",33-94607-8024,05/09/1994,536.120.974-07
Fernanda Martins,"Sítio Bianca Gomes, São Paulo, 97895-119 Novaes / CE",64-92918-5136,22/04/1997,847.910.635-20
Luigi Oliveira,"Viela de Viana, 98, Urca, 77560-633 Caldeira / AM",13-96984-3166,23/06/1988,739.410.685-39
Srta. Rafaela Pires,"Largo Igor Brito, 84, Conjunto Novo Dom Bosco, 29541738 Almeida / PB",20-95096-6731,18/01/1977,130.845.267-53
Mariah Correia,"Chácara de Porto, Boa União 1ª Seção, 58113-797 Sousa / MA",56-99140-6899,10/11/1938,408.592.361-70
Vitor Gabriel da Rosa,"Jardim Thiago Novais, 92, Padre Eustáquio, 78761970 Marques de Barbosa / SC",37-91795-6794,08/03/1985,935.068.714-39
Kevin Carvalho,"Loteamento Henrique Lopes, 64, Maria Goretti, 14030-300 da Mata / CE",70-95025-8953,14/09/1974,672.380.549-65
Anthony das Neves,"Praia Câmara, Túnel De Ibirité, 63987547 Machado de Goiás / AC",22-93993-1569,29/10/1968,265.741.083-90
Ana Beatriz Melo,"Ladeira Valentina Monteiro, 360, Santa Branca, 58252667 Fernandes / PA",58-99029-1982,19/02/1970,179.204.368-69
Ísis Cardoso,"Passarela Sophia Macedo, 51, Itatiaia, 11178-002 Rezende dos Dourados / RR",67-96344-7187,16/03/1941,864.175.390-75
Otto Rocha,"Fazenda de Vasconcelos, 5, Nossa Senhora Da Aparecida, 98835-236 das Neves do Norte / SC",71-95490-7743,12/01/1992,089.524.167-67
Henrique da Luz,"Aeroporto Abreu, 27, Vila De Sá, 40361-170 Souza / RO",27-95245-8280,26/03/1979,375.492.180-05
Luara Cunha,"Via Rhavi Rodrigues, 836, Beira Linha, 70540487 da Paz de Costela / MT",65-96762-8652,21/02/1982,386.174.902-50
João Felipe Gonçalves,"Passarela Isis Pacheco, 605, São Vicente, 80836-377 Novais de Minas / SC",75-98819-2282,07/01/1988,058.146.973-93
Lara Rodrigues,"Favela de Cavalcanti, 99, Vila São Gabriel Jacui, 08420222 Gomes Alegre / AC",71-96383-2747,27/06/1997,614.708.235-35
Matheus Cunha,"Residencial de Sousa, 842, Bernadete, 18705-764 Vargas / TO",11-92739-5198,09/04/1963,405.791.326-25
João Vitor Aragão,"Trecho de Montenegro, 5, Vale Do Jatoba, 22387-673 Fogaça / PE",33-99007-4969,09/07/1996,987.136.245-55
Rebeca Campos,"Sítio de Martins, 90, Pirineus, 99874-116 da Cruz dos Dourados / RS",87-99241-2978,15/01/1954,593.826.047-74
Igor Guerra,"Vereda Brayan da Luz, 63, Ouro Minas, 26009075 Ferreira Verde / AC",50-96256-7026,26/10/2001,025.349.176-25
Sr. Matteo Sales,"Conjunto Arthur Gabriel Fernandes, 29, Miramar, 15900-507 Lopes / BA",60-92202-1217,03/06/1944,587.340.926-92
Maria Fernanda Teixeira,"Chácara de Sampaio, 4, Marçola, 96095-287 Oliveira / DF",65-96056-3291,24/06/1971,852.476.910-67
Srta. Sophie Santos,"Vale Liz Câmara, 67, Vila Paquetá, 17674615 Araújo / PI",12-95662-8220,05/07/2003,379.204.185-50
Bryan Marques,"Recanto Sabrina Nunes, 83, Minas Caixa, 27937805 Teixeira / MS",17-98161-1769,29/04/2004,416.372.509-16
Augusto Pastor,"Lagoa Aparecida, 132, Cidade Jardim, 48596-796 Carvalho / DF",29-97104-2537,08/09/1981,257.164.908-67
Maria Helena Costa,"Favela Alves, 2, Xodo-Marize, 46058-131 Cavalcanti do Oeste / AM",53-95693-5012,09/01/1995,701.392.645-07
Ian Monteiro,"Praia de Fogaça, Europa, 88003948 Gomes / BA",48-94679-4385,18/09/1990,871.659.023-68
Srta. Maria Isis Rios,"Residencial Monteiro, 9, Jardim Felicidade, 62798-913 Porto / MT",49-92365-8859,25/08/1933,142.867.935-91
Sra. Manuella Jesus,"Jardim Manuela Pastor, 60, Esplanada, 90525198 Lopes / ES",75-92952-1091,16/12/1989,897.260.351-12
Srta. Bella Jesus,"Residencial Farias, Providencia, 41545-350 Monteiro Paulista / AM",21-91689-3426,06/02/1937,257.148.309-97
Dra. Eloá Aragão,"Alameda Gomes, 71, Ademar Maldonado, 55715-190 Vasconcelos / PE",22-93479-5256,12/09/1963,534.198.207-04
Liam Dias,"Travessa Heitor Macedo, Boa União 2ª Seção, 35501424 Vieira de Almeida / AM",39-93963-8755,25/12/1950,268.147.953-37
Ana Lívia Viana,"Estação Duarte, 63, Anchieta, 05611-583 Barros Verde / BA",26-98235-5858,05/12/2000,315.824.967-73
Kaique Ferreira,"Praia da Luz, Cônego Pinheiro 1ª Seção, 03950432 Vieira do Oeste / RN",50-99440-6247,17/05/1934,201.475.639-25
Maya Mendonça,"Alameda da Cruz, São Marcos, 39488531 Pinto de Aparecida / MS",43-99671-7841,22/10/1938,427.981.035-41
Ana Clara Silveira,"Fazenda Maria Liz Sales, 32, Acaba Mundo, 34825-816 Monteiro do Oeste / RO",24-95008-8272,11/11/1940,139.872.645-19
Enzo Gabriel Cassiano,"Praça de Mendonça, 69, Esperança, 02593513 das Neves / PA",90-95771-7956,29/09/1965,321.985.067-77
Bento Pinto,"Núcleo de Freitas, 71, Marieta 2ª Seção, 69748-721 Caldeira Grande / AC",45-95599-9483,03/02/1941,293.568.741-82
Júlia Souza,"Parque Léo Sá, Nova Floresta, 85867-917 Mendes / MS",58-91358-5616,21/12/1944,168.942.537-73
Anna Liz Souza,"Trecho Abreu, 8, Xodo-Marize, 20273-934 Silva do Norte / DF",30-98713-5376,02/05/1978,785.091.463-57
Sr. Davi Luiz Pinto,"Praça Caldeira, Pongelupe, 65969534 Alves / GO",79-92205-9840,01/10/1943,196.504.823-42
Sra. Melissa Marques,"Esplanada Isaac Leão, 4, Vila Santa Monica 2ª Seção, 76267585 Abreu / PE",64-93304-8543,30/10/1970,360.298.471-04
Daniel Lopes,"Praia Melo, São Marcos, 07919-495 Aparecida de da Costa / SC",33-95058-8881,15/02/2001,706.459.182-02
Emanuelly Pastor,"Área Farias, 41, Barão Homem De Melo 2ª Seção, 36312-663 Caldeira Grande / AP",33-99146-5444,01/05/1996,506.187.429-30
Gustavo Farias,"Vila de Freitas, 17, Maria Virgínia, 76143-365 Lopes do Amparo / DF",46-99838-3301,21/04/1946,479.210.865-94
Luiz Fernando Ferreira,"Área de Nogueira, Vila Ouro Minas, 38406-474 da Cruz / MA",86-94632-5367,05/12/1961,054.127.698-02
Diego Ramos,"Aeroporto Moraes, Padre Eustáquio, 47996718 Leão / MT",63-96244-9673,20/03/1940,729.143.065-80
Olívia Costa,"Distrito Campos, 48, Novo São Lucas, 11025957 Caldeira de Moreira / MT",89-94976-7538,30/07/1986,391.724.560-43
Dr. Benjamim Pacheco,"Feira Novais, 7, Primeiro De Maio, 94345262 Camargo / MT",24-93466-9752,30/07/1938,078.923.546-38
Eduarda Freitas,"Vale da Mata, 4, Alta Tensão 2ª Seção, 37018-761 Carvalho de Moreira / RO",17-94972-1828,14/03/1997,201.539.768-02
Liz Aparecida,"Via Monteiro, 82, Padre Eustáquio, 22180009 Moura / ES",10-98955-1662,21/02/1947,065.917.423-52
Mariana Pereira,"Lagoa Eduardo Leão, 595, Vila Maria, 40241492 Ferreira da Prata / RJ",22-97516-1940,24/01/1956,792.583.140-50
Aurora Marques,"Aeroporto de Siqueira, 241, Beira Linha, 81707373 Viana / PR",31-92059-8921,03/08/1948,934.185.270-60
Eduardo Barbosa,"Sítio Fogaça, Barão Homem De Melo 3ª Seção, 18070932 Monteiro / AM",90-99211-3441,01/02/1946,087.526.319-40
Brenda Cassiano,"Praia Lorena Novais, 8, Serra Verde, 65533-752 Moura / PR",25-95337-5557,08/07/2001,497.653.012-43
Marcos Vinicius Sales,"Lagoa Isabela da Mata, 268, Bonfim, 78123-914 Lopes / MG",11-95381-5400,07/12/1969,871.542.930-04
Yasmin Cavalcanti,"Pátio de Cavalcante, 58, Ermelinda, 59968965 Abreu / SC",12-94684-5071,13/04/1962,573.129.604-99
Allana Porto,"Sítio Machado, 93, Embaúbas, 32469781 da Costa / CE",92-92754-6651,25/05/1960,103.527.946-07
Isadora Almeida,"Via Silva, 47, Nossa Senhora Da Aparecida, 77292-529 Câmara de Campos / RO",22-96943-4013,21/08/1981,182.763.594-00
Antony Jesus,"Lago de da Cunha, 25, Jardinópolis, 83560353 Dias / AP",72-91304-9680,01/02/1940,102.584.679-67
Ana Cecília Azevedo,"Sítio Emilly Dias, 3, Alpes, 14880-492 Silva / PE",87-92897-1794,07/10/1945,736.920.485-56
Dr. Théo da Rosa,"Área Helena Farias, 42, Vila Fumec, 69059-877 Carvalho das Flores / RN",33-91317-6868,09/12/1963,031.958.472-05
Lara Gomes,"Vereda Araújo, Cachoeirinha, 87151-711 Gomes / MA",76-98319-4924,19/05/1999,740.158.693-20
Dr. Lucca da Luz,"Feira Ayla Cirino, Ipiranga, 05906611 Pires / PB",55-96476-8949,23/10/1954,968.732.145-82
Asafe Ferreira,"Viaduto de Oliveira, 861, Luxemburgo, 77496-566 Barbosa / MS",44-92607-2292,22/02/2002,127.438.605-53
André Teixeira,"Setor de Lopes, Solimoes, 81775-696 Pinto / RR",53-98435-9799,26/10/1961,658.039.741-10
Laura Sousa,"Pátio Heitor Pires, 44, Estrela Do Oriente, 11207-899 Vieira do Campo / PA",35-97921-8827,13/11/1942,315.794.802-41
Ravi Lucca Câmara,"Lagoa de Silva, 69, Vila Madre Gertrudes 4ª Seção, 41061877 Moreira Grande / BA",24-99407-8517,09/07/1960,468.712.305-80
Sr. Arthur Gabriel Caldeira,"Favela Vitor Sousa, 96, Padre Eustáquio, 69686-072 Moura / MS",29-92450-4070,28/06/1981,527.634.801-44
Melina Freitas,"Rodovia Otávio Cavalcante, Belmonte, 37458-663 da Paz da Mata / PB",53-92499-5243,12/03/1966,140.867.395-93
Ayla Rezende,"Rodovia Camargo, 57, Cidade Nova, 89289-419 Viana / PB",34-93340-7092,17/10/1961,389.165.702-12
Dra. Maria Liz Almeida,"Sítio Lorenzo da Cruz, 462, Leticia, 63884490 Farias / RO",59-93973-1536,09/12/1971,834.675.019-66
Sr. Mateus Mendes,"Alameda de Sampaio, Vila São Geraldo, 87543948 Rocha de Santos / SP",44-92704-5396,23/08/1970,193.760.254-07
Sra. Maria Alice Macedo,"Feira de das Neves, 41, Bandeirantes, 47489040 Rezende de Sales / SE",65-94052-2633,19/04/1949,270.318.649-50
Alexandre da Conceição,"Feira Vieira, 3, Monte São José, 90226-804 Nascimento / PB",74-98010-2937,28/03/1983,635.097.842-00
Davi Miguel Cirino,"Feira Theodoro da Cunha, 232, Concórdia, 03457006 Alves de Cirino / RR",27-97600-5236,10/04/1941,132.678.054-90
Mathias Macedo,"Trecho Brito, Serra, 06227717 Pinto / PE",26-91275-2845,26/05/1937,015.468.792-85
Bruna da Costa,"Lagoa Julia da Cunha, 71, Marieta 3ª Seção, 75019104 Souza de Costa / RS",65-94721-8906,15/02/1982,910.723.546-16
Valentim da Paz,"Trecho Dias, 125, Virgínia, 74558456 Jesus / TO",83-94115-3445,23/11/1945,536.729.804-47
Aurora Guerra,"Lagoa Freitas, Universitário, 03367605 Mendes / SC",55-97656-2536,07/09/1990,420.759.638-00
Rafaela Rios,"Avenida Caleb Souza, 356, Nossa Senhora Da Aparecida, 63522056 Marques das Flores / RO",52-91762-4474,10/01/1992,032.896.517-03
Paulo Camargo,"Praia Camargo, 15, Santana Do Cafezal, 08476841 Nascimento Verde / SP",31-91930-6303,29/05/2003,718.429.560-94
Benjamim Moura,"Parque de Moreira, 10, Conjunto Califórnia Ii, 78941505 Cirino / RO",94-95529-4144,16/02/1993,436.217.508-35
Davi Lucca Pereira,"Lagoa Duarte, 16, Nova Suíça, 95864489 Rezende / AP",52-99703-6010,07/04/1960,084.791.562-01
Emanuelly Freitas,"Esplanada Leão, 4, Nova Floresta, 04246-094 Cavalcanti das Pedras / RN",22-97611-6599,11/12/1955,206.375.149-80
Thales Rodrigues,"Esplanada Henry Gabriel Câmara, 83, João Alfredo, 86459702 Rodrigues dos Dourados / RJ",25-91660-5793,23/08/1963,482.035.796-47
Benício Cassiano,"Avenida Pereira, 702, Vila Independencia 1ª Seção, 97107-636 da Mata / MT",70-97776-5063,07/06/1937,143.782.569-91
Srta. Gabrielly Pimenta,"Esplanada Cassiano, 935, Vila Suzana Primeira Seção, 70254-838 da Conceição da Serra / SP",13-96045-5514,27/06/1972,975.423.810-32
Raquel Porto,"Ladeira de Alves, 37, São Jorge 1ª Seção, 59013-681 Siqueira de Porto / AM",29-93239-2445,30/05/1971,520.691.483-51
Srta. Alana da Rocha,"Favela Mendonça, 813, Estrela Do Oriente, 51013102 Ferreira / PE",23-97463-3048,16/01/2004,031.429.756-16
Davi Lucca da Rosa,"Avenida da Luz, Independência, 74463-612 Rodrigues / RN",18-93904-7973,21/03/1972,315.978.026-03
Sara das Neves,"Sítio Luiz Felipe Novais, 164, Vila Engenho Nogueira, 43582-749 Pacheco / RR",86-99650-3993,12/11/1992,038.547.216-17
Mirella Pastor,"Favela Raquel Lima, 938, Comiteco, 74101-184 da Costa / AC",97-93607-9055,02/08/1978,564.720.381-71
Luana da Mata,"Rua João Pedro da Cunha, 119, Delta, 01901-217 Rios / BA",22-91936-5882,20/03/1980,623.745.081-53
Gael Henrique Novaes,"Vereda Manuela Lopes, 57, Vila Inestan, 37247-896 Peixoto dos Dourados / PB",12-92154-3576,08/01/2002,925.738.160-95
